repo_id,id_contribuidor,data
1226,5924,17-04-2014
1226,5971,10-07-2012
1226,6235,11-11-2012
1226,6424,22-01-2017
1226,6534,04-03-2015
1226,6569,03-05-2012
1226,6570,02-08-2012
1226,6571,29-04-2017
1226,6576,28-05-2012
1226,6597,28-04-2012
1226,6602,08-06-2012
1226,6619,12-05-2012
1226,6635,01-05-2006
1226,6643,07-06-2012
1226,6776,09-07-2012
1226,6905,06-08-2012
1226,6949,06-02-2015
1226,6955,16-05-2012
1226,6977,02-07-2013
1226,6982,05-02-2013
1226,7176,25-08-2012
1226,7177,18-10-2012
1226,7179,02-08-2012
1226,7181,03-05-2012
1226,7182,29-04-2012
1226,7183,09-09-2012
1226,7185,23-07-2012
1226,7213,28-04-2012
1226,7216,08-06-2012
1226,7217,17-07-2012
1226,7219,18-07-2012
1226,7221,22-07-2012
1226,7222,08-07-2012
1226,7227,25-07-2012
1226,7228,31-10-2012
1226,7229,11-09-2009
1226,7230,25-07-2012
1226,7238,25-07-2012
1226,7250,03-05-2012
1226,7251,03-05-2012
1226,7261,29-01-2013
1226,7275,16-07-2012
1226,7276,28-04-2012
1226,7277,08-06-2012
1226,7527,18-08-2012
1226,8000,07-06-2016
1226,8065,29-06-2018
1226,8160,27-05-2014
1226,8247,08-08-2012
1226,8311,16-03-2015
1226,8337,15-11-2012
1226,8363,15-07-2012
1226,8602,07-11-2015
1226,8645,01-03-2013
1226,8667,28-04-2012
1226,8856,23-02-2013
1226,8910,24-07-2014
1226,8979,07-02-2013
1226,9127,29-04-2012
1226,9128,28-06-2017
1226,9233,21-11-2017
1226,9295,12-11-2013
1226,9340,01-08-2012
1226,9418,22-06-2012
1226,9426,02-12-2012
1226,9489,15-05-2013
1226,9564,04-09-2012
1226,9701,26-07-2014
1226,9926,24-05-2013
1226,10035,12-05-2012
1226,10413,29-08-2012
1226,10561,19-01-2017
1226,10704,15-12-2012
1226,10825,08-08-2013
1226,10831,11-07-2016
1226,10878,18-02-2013
1226,10890,03-03-2015
1226,11066,15-05-2013
1226,11239,16-07-2013
1226,11304,16-07-2012
1226,11745,18-04-2015
1226,11835,06-12-2017
1226,11837,30-09-2012
1226,11859,29-10-2012
1226,11983,22-10-2013
1226,12101,29-04-2013
1226,12248,17-06-2015
1226,12275,18-05-2014
1226,12688,15-09-2017
1226,12690,29-04-2017
1226,12943,26-06-2013
1226,13172,28-04-2012
1226,13384,04-03-2013
1226,13465,19-10-2018
1226,13790,23-01-2015
1226,13964,03-06-2013
1226,14425,30-07-2014
1226,14451,14-01-2019
1226,14464,17-09-2015
1226,14501,23-05-2014
1226,14541,19-07-2018
1226,14556,17-01-2015
1226,14604,16-05-2012
1226,14655,07-11-2015
1226,14675,30-04-2012
1226,14723,14-02-2013
1226,14727,07-08-2013
1226,14733,13-09-2014
1226,14850,20-01-2015
1226,14965,15-10-2018
1226,14988,17-03-2013
1226,15128,22-07-2013
1226,15138,06-06-2012
1226,15141,25-10-2016
1226,15289,12-03-2014
1226,15413,07-02-2017
1226,15546,14-05-2015
1226,16045,16-02-2018
1226,16137,27-11-2012
1226,16138,30-10-2012
1226,16139,05-04-2015
1226,16140,03-04-2015
1226,16788,31-10-2013
1226,16906,28-05-2014
1226,16907,06-05-2015
1226,16910,20-01-2014
1226,16913,04-05-2014
1226,16916,07-05-2016
1226,16925,23-08-2012
1226,16928,25-09-2012
1226,16980,27-12-2012
1226,17015,02-09-2012
1226,17084,03-08-2014
1226,17276,22-04-2014
1226,17410,12-02-2014
1226,17656,23-02-2013
1226,17662,11-02-2014
1226,17816,24-07-2014
1226,18174,04-06-2015
1226,18335,17-02-2014
1226,18354,07-09-2012
1226,18446,05-07-2015
1226,18567,11-08-2012
1226,18844,28-08-2013
1226,18893,09-05-2012
1226,18942,19-08-2014
1226,18961,18-07-2014
1226,19043,26-02-2013
1226,19057,06-08-2012
1226,19163,26-05-2013
1226,19571,05-01-2013
1226,19619,28-04-2012
1226,19648,04-06-2015
1226,19767,08-06-2018
1226,20313,21-01-2016
1226,20540,19-01-2017
1226,20801,05-08-2015
1226,20929,24-06-2012
1226,21296,11-11-2015
1226,21399,12-01-2019
1226,21532,21-04-2019
1226,21533,22-07-2013
1226,21538,19-07-2016
1226,21599,30-08-2015
1226,21694,09-05-2016
1226,21712,07-04-2017
1226,21776,12-11-2012
1226,21784,04-06-2012
1226,22049,14-08-2013
1226,22051,21-05-2017
1226,22099,18-01-2017
1226,22116,23-01-2013
1226,22145,05-05-2013
1226,22251,06-06-2015
1226,22274,28-04-2012
1226,22464,04-05-2014
1226,22517,31-08-2015
1226,22519,02-06-2016
1226,22566,19-03-2013
1226,22661,09-06-2016
1226,22677,08-07-2014
1226,22728,31-08-2016
1226,22967,29-12-2014
1226,23050,06-04-2014
1226,23234,21-02-2013
1226,23300,04-08-2012
1226,23320,22-03-2015
1226,23366,24-01-2013
1226,23419,03-11-2012
1226,23524,12-05-2013
1226,23537,14-07-2016
1226,23573,22-01-2014
1226,23635,23-04-2015
1226,23776,04-03-2013
1226,23804,01-03-2013
1226,23817,04-12-2013
1226,23819,05-03-2013
1226,23825,23-02-2013
1226,23827,09-02-2014
1226,23952,11-01-2019
1226,24056,21-03-2013
1226,24125,29-01-2018
1226,25258,30-04-2012
1226,25291,18-10-2017
1226,25340,26-04-2013
1226,25346,22-06-2013
1226,25362,28-04-2012
1226,25790,31-05-2012
1226,26356,26-10-2016
1226,26531,25-12-2013
1226,26614,08-09-2012
1226,26616,09-05-2012
1226,26618,08-04-2013
1226,26775,09-06-2016
1226,27517,01-03-2019
1226,27597,09-06-2016
1226,27677,16-12-2018
1226,27889,15-02-2014
1226,27892,10-05-2012
1226,28117,07-09-2012
1226,28178,30-11-2014
1226,28179,18-07-2012
1226,28221,28-01-2013
1226,28328,25-07-2013
1226,28336,21-09-2016
1226,28452,07-05-2013
1226,28514,06-12-2015
1226,28536,26-11-2012
1226,28589,26-09-2012
1226,28784,15-12-2012
1226,29463,13-03-2013
1226,29532,27-07-2016
1226,29563,07-06-2012
1226,29652,16-04-2014
1226,29968,22-12-2014
1226,30157,01-06-2012
1226,30212,10-05-2012
1226,30219,20-10-2012
1226,30351,09-07-2012
1226,30366,04-08-2016
1226,30409,22-02-2017
1226,30418,11-01-2013
1226,30972,10-08-2016
1226,31003,29-05-2012
1226,31164,04-06-2014
1226,31363,09-05-2012
1226,31531,27-06-2013
1226,31845,25-08-2012
1226,31939,12-05-2015
1226,32166,07-09-2012
1226,32364,08-06-2012
1226,32370,01-12-2012
1226,32373,07-06-2012
1226,32378,12-06-2012
1226,32379,26-06-2012
1226,32381,20-05-2012
1226,32383,21-06-2012
1226,32390,10-06-2012
1226,32391,18-06-2012
1226,32392,08-05-2012
1226,32399,07-06-2012
1226,32400,07-06-2012
1226,32465,15-05-2015
1226,32732,29-10-2012
1226,32761,06-09-2013
1226,32803,30-11-2015
1226,32814,16-12-2013
1226,32872,05-11-2012
1226,33196,19-02-2014
1226,33439,05-07-2012
1226,33453,27-03-2013
1226,33527,10-01-2013
1226,33535,18-02-2015
1226,33811,26-05-2014
1226,33852,18-05-2013
1226,33901,19-05-2013
1226,33940,18-05-2013
1226,34147,03-12-2014
1226,34188,22-05-2012
1226,34261,11-04-2015
1226,34693,07-06-2017
1226,35287,12-02-2017
1226,35421,11-07-2013
1226,35448,23-10-2012
1226,35505,12-02-2013
1226,35516,29-07-2012
1226,35600,16-01-2016
1226,35608,16-06-2015
1226,35633,28-06-2012
1226,35701,21-05-2012
1226,35879,09-11-2017
1226,35931,23-01-2014
1226,36126,17-11-2015
1226,36227,05-11-2016
1226,36530,09-05-2012
1226,36608,20-09-2012
1226,37071,31-07-2012
1226,37135,25-08-2012
1226,37137,27-02-2014
1226,37329,01-02-2013
1226,37453,05-09-2014
1226,37556,19-06-2014
1226,37569,22-11-2012
1226,37583,09-06-2014
1226,37809,11-09-2012
1226,38378,12-01-2013
1226,38420,23-02-2013
1226,38522,03-01-2015
1226,38676,19-10-2016
1226,38843,01-03-2013
1226,39107,22-07-2014
1226,39223,17-11-2012
1226,39521,19-09-2013
1226,39697,20-04-2019
1226,39961,25-08-2014
1226,40401,30-07-2015
1226,40415,08-09-2013
1226,40490,26-07-2018
1226,40814,04-10-2015
1226,40888,22-03-2014
1226,41265,14-05-2017
1226,41352,16-08-2017
1226,41539,18-05-2012
1226,41753,18-05-2013
1226,41797,15-01-2013
1226,41985,18-12-2017
1226,42024,26-06-2014
1226,42057,16-11-2012
1226,42387,11-02-2018
1226,42654,26-04-2012
1226,44006,16-12-2012
